t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651237990,1055,1753,22.466926,0,81.983136,7.000000,15.000000,76.550000,201.260000,343.650000,1730.467000
1651238020,1056,1753,22.441634,0,81.982658,7.000000,15.000000,76.550000,201.260000,343.650000,1730.467000
1651238050,1058,1753,22.453307,0,81.980944,7.000000,15.000000,76.550000,201.260000,343.650000,1730.467000
1651238080,1066,1753,22.544747,0,82.065966,7.000000,15.000000,79.200000,201.260000,343.650000,1730.467000
1651238110,1068,1753,22.566148,0,82.063376,7.000000,15.000000,79.200000,201.260000,343.650000,1730.467000
1651238140,1069,1753,22.576848,0,82.061670,7.000000,15.000000,79.200000,201.260000,343.650000,1730.467000
1651238170,1071,1753,22.573930,0,82.061744,7.000000,15.000000,79.200000,201.260000,343.650000,1730.467000
1651238200,1072,1753,22.579767,0,82.060564,7.000000,15.000000,79.200000,201.260000,343.650000,1730.467000
1651238230,1074,1753,22.620623,0,82.063338,7.000000,15.000000,79.200000,201.260000,343.650000,1730.467000
1651238260,1075,1753,22.636187,0,82.061700,7.000000,15.000000,79.200000,201.260000,343.650000,1730.467000
1651238290,1080,1753,22.652724,0,82.058989,7.000000,15.000000,79.200000,201.260000,343.650000,1730.467000
1651238320,1087,1753,23.222763,0,83.484800,7.000000,15.000000,81.550000,213.920000,378.530000,1730.467000
1651238350,1091,1753,23.215953,0,83.486223,7.000000,15.000000,81.550000,213.920000,378.530000,1730.467000
1651238380,1098,1753,23.018482,0,83.153187,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238410,1103,1753,23.006809,0,83.154418,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238440,1104,1753,23.020428,0,83.152612,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238470,1106,1753,23.027237,0,83.151504,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238500,1107,1753,23.036965,0,83.149861,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238530,1109,1753,23.037938,0,83.149632,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238560,1110,1753,23.049611,0,83.147799,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238590,1112,1753,23.072957,0,83.144924,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238620,1113,1753,23.081712,0,83.143704,7.000000,15.000000,81.000000,201.260000,378.530000,1730.467000
1651238651,1128,1753,24.014591,0,83.499965,7.000000,16.000000,85.000000,201.260000,378.530000,1730.467000
1651238681,1137,1753,23.751946,0,82.651058,7.000000,16.000000,85.000000,183.980000,374.180000,1730.467000
1651238711,1144,1753,23.505837,0,82.449766,7.000000,16.000000,85.000000,174.260000,374.180000,1730.467000
1651238741,1154,1753,23.510700,0,82.464326,7.000000,16.000000,85.000000,174.260000,374.180000,1730.467000
1651238771,1156,1753,23.907588,0,83.376016,7.000000,16.000000,85.000000,183.980000,410.170000,1730.467000
1651238801,1157,1753,23.915370,0,83.374530,7.000000,16.000000,85.000000,183.980000,410.170000,1730.467000
1651238831,1159,1753,23.910506,0,83.374846,7.000000,16.000000,85.000000,183.980000,410.170000,1730.467000
1651238861,1166,1753,24.278210,0,83.812098,7.000000,16.000000,86.550000,197.100000,410.170000,1730.467000
1651238891,1169,1753,24.315175,0,83.808842,7.000000,16.000000,86.550000,197.100000,410.170000,1730.467000
1651238921,1170,1753,24.311284,0,83.809135,7.000000,16.000000,86.550000,197.100000,410.170000,1730.467000
1651238951,1172,1753,24.329767,0,83.806096,7.000000,16.000000,86.550000,197.100000,410.170000,1730.467000
1651238981,1173,1753,24.332685,0,83.805579,7.000000,16.000000,86.550000,197.100000,410.170000,1730.467000
1651239011,1175,1753,24.336576,0,83.804448,7.000000,16.000000,86.550000,197.100000,410.170000,1730.467000
1651239041,1177,1753,24.481518,0,83.877064,7.000000,16.000000,88.650000,197.100000,410.170000,1730.467000
1651239071,1179,1753,24.494163,0,83.875104,7.000000,16.000000,88.650000,197.100000,410.170000,1730.467000
1651239101,1180,1753,24.494163,0,83.875104,7.000000,16.000000,88.650000,197.100000,410.170000,1730.467000
