t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651227936,594,30108,73.744108,1,1258.473373,7.000000,12.000000,23.000000,46.300000,250.450000,30108.000000
1651227966,597,30108,73.386935,1,1255.312156,6.000000,12.000000,23.000000,46.120000,245.980000,30108.000000
1651227996,603,30108,72.694859,1,1249.059904,6.000000,12.000000,22.800000,45.360000,241.920000,30108.000000
1651228026,606,30108,72.351485,1,1245.968742,6.000000,12.000000,22.650000,44.880000,241.110000,30108.000000
1651228056,612,30108,71.668301,1,1239.855010,6.000000,12.000000,22.350000,43.920000,239.490000,30108.000000
1651228086,615,30108,71.333333,1,1236.831607,6.000000,12.000000,22.200000,43.440000,238.680000,30108.000000
1651228116,621,30108,70.668277,1,1230.850837,6.000000,12.000000,22.000000,42.480000,237.060000,30108.000000
1651228146,624,30108,70.338141,1,1227.892937,6.000000,11.750000,22.000000,42.000000,236.250000,30108.000000
1651228176,630,30108,69.688889,1,1222.040465,6.000000,11.000000,22.000000,41.040000,234.630000,30108.000000
1651228206,633,30108,69.374408,1,1219.145137,6.000000,11.000000,22.000000,40.560000,233.820000,30108.000000
1651228236,639,30108,68.746479,1,1213.416106,6.000000,11.000000,22.000000,39.600000,232.200000,30108.000000
1651228266,642,30108,68.439252,1,1210.581587,6.000000,11.000000,22.000000,39.120000,231.390000,30108.000000
1651228296,648,30108,67.828704,1,1204.971883,5.000000,11.000000,22.000000,38.160000,229.770000,30108.000000
1651228326,657,30108,66.939117,1,1196.701373,5.000000,11.000000,22.000000,37.200000,227.340000,30108.000000
1651228356,663,30108,66.365008,1,1191.281106,5.000000,11.000000,22.000000,36.600000,225.720000,30108.000000
1651228386,666,30108,66.076577,1,1188.598714,5.000000,11.000000,22.000000,36.300000,224.910000,30108.000000
1651228416,672,30108,65.514881,1,1183.287454,5.000000,11.000000,22.000000,35.700000,223.290000,30108.000000
1651228446,675,30108,65.234074,1,1180.658579,5.000000,11.000000,22.000000,35.400000,222.480000,30108.000000
1651228476,681,30108,64.676946,1,1175.453127,5.000000,11.000000,22.000000,34.800000,220.860000,30108.000000
1651228506,684,30108,64.403509,1,1172.876010,5.000000,11.000000,22.000000,34.500000,220.050000,30108.000000
1651228536,690,30108,63.868116,1,1167.771998,5.000000,11.000000,22.000000,33.900000,218.430000,30108.000000
1651228566,693,30108,63.606061,1,1165.244741,5.000000,11.000000,22.000000,33.600000,217.620000,30108.000000
